MKT-22005,7
MKT-22006,39
MKT-22008,1
MKT-22013,1
MKT-22015,2
MKT-22017,42
MKT-22018,12
MKT-22023,12
MKT-22027,31
MKT-22029,7
MKT-22032,7
MKT-22033,42
MKT-22034,31
MKT-22037,39
MKT-22038,2
MKT-22039,7
MKT-22044,31
MKT-22045,1
MKT-22046,12
MKT-22048,54
MKT-22049,39
MKT-22050,31
MKT-22054,42
MKT-22059,1
MKT-22064,2
MKT-22065,31
MKT-22069,54
MKT-22072,42
MKT-22075,54
MKT-22077,54
MKT-22079,54
MKT-22086,12
MKT-22089,7
MKT-22090,31
MKT-22094,39
MKT-22096,54
MKT-22098,2
MKT-22101,1
MKT-22102,12
MKT-22104,39
MKT-22107,2
MKT-22108,2
MKT-22110,7
MKT-22111,2
MKT-22116,12
MKT-22118,42
MKT-22119,39
MKT-22122,42
MKT-22129,42
MKT-22130,39
MKT-22131,1
MKT-22133,2
MKT-22134,7
MKT-22135,54
MKT-22137,1
MKT-22138,31
MKT-22139,31
MKT-22144,42
MKT-22145,7
MKT-22146,1
MKT-22149,39
MKT-22150,12
MKT-22153,12
MKT-22159,54
